Day of year,Hour,week_or_not,road_num,functional_road_class_desc,time_rate,rain,temperature,atmospheric_pressure,humidity,wind_speed,clouds,current_luminosity,atmosphere
26.0,16.0,0.0,2.0,3.0,0.5363982619163747,0.0,13.0,1020.0,76.0,3.0,0.0,2.0,0.0
26.0,16.0,0.0,3.0,1.0,0.8435354728368255,0.0,13.0,1020.0,76.0,3.0,0.0,2.0,0.0
26.0,16.0,0.0,4.0,2.0,0.8655351194403089,0.0,13.0,1020.0,76.0,3.0,0.0,2.0,0.0
26.0,17.0,0.0,1.0,3.0,0.9999928571938772,0.0,12.0,1020.0,81.0,4.0,0.0,2.0,0.0
26.0,17.0,0.0,2.0,3.0,0.5817375655822876,0.0,12.0,1020.0,81.0,4.0,0.0,2.0,0.0
26.0,17.0,0.0,3.0,1.0,0.7413480391945744,0.0,12.0,1020.0,81.0,4.0,0.0,2.0,0.0
26.0,17.0,0.0,4.0,2.0,0.648026368638854,0.0,12.0,1020.0,81.0,4.0,0.0,2.0,0.0
26.0,18.0,0.0,1.0,3.0,0.9999928571938772,0.0,11.0,1019.0,81.0,2.0,0.0,0.0,0.0
26.0,18.0,0.0,2.0,3.0,0.4556663759574741,0.0,11.0,1019.0,81.0,2.0,0.0,0.0,0.0
26.0,18.0,0.0,3.0,1.0,0.766213445925872,0.0,11.0,1019.0,81.0,2.0,0.0,0.0,0.0
26.0,18.0,0.0,4.0,2.0,0.4232702741755766,0.0,11.0,1019.0,81.0,2.0,0.0,0.0,0.0
26.0,19.0,0.0,1.0,3.0,0.9411700939634328,0.0,10.0,1019.0,87.0,1.0,0.0,0.0,0.0
26.0,19.0,0.0,2.0,3.0,0.6901229911613711,0.0,10.0,1019.0,87.0,1.0,0.0,0.0,0.0
26.0,19.0,0.0,3.0,1.0,0.9305532514068341,0.0,10.0,1019.0,87.0,1.0,0.0,0.0,0.0
26.0,19.0,0.0,4.0,2.0,0.6276289473751039,0.0,10.0,1019.0,87.0,1.0,0.0,0.0,0.0
26.0,20.0,0.0,1.0,3.0,0.9999928571938772,0.0,9.0,1020.0,93.0,3.0,20.0,0.0,0.0
26.0,20.0,0.0,2.0,3.0,0.9162555584949044,0.0,9.0,1020.0,93.0,3.0,20.0,0.0,0.0
26.0,20.0,0.0,3.0,1.0,0.7636797640435277,0.0,9.0,1020.0,93.0,3.0,20.0,0.0,0.0
26.0,20.0,0.0,4.0,2.0,0.7761889641047843,0.0,9.0,1020.0,93.0,3.0,20.0,0.0,0.0
26.0,21.0,0.0,1.0,3.0,0.9999928571938772,0.0,11.0,1020.0,87.0,3.0,20.0,0.0,0.0
26.0,21.0,0.0,2.0,3.0,0.9216751585954914,0.0,11.0,1020.0,87.0,3.0,20.0,0.0,0.0
26.0,21.0,0.0,3.0,1.0,0.9999972934546291,0.0,11.0,1020.0,87.0,3.0,20.0,0.0,0.0
26.0,21.0,0.0,4.0,2.0,0.9999978260916822,0.0,11.0,1020.0,87.0,3.0,20.0,0.0,0.0
26.0,22.0,0.0,1.0,3.0,0.925919723733961,0.0,11.0,1020.0,87.0,5.0,75.0,0.0,0.0
26.0,22.0,0.0,2.0,3.0,0.9216751585954914,0.0,11.0,1020.0,87.0,5.0,75.0,0.0,0.0
26.0,22.0,0.0,3.0,1.0,0.999997270962618,0.0,11.0,1020.0,87.0,5.0,75.0,0.0,0.0
26.0,22.0,0.0,4.0,2.0,0.9999978260916822,0.0,11.0,1020.0,87.0,5.0,75.0,0.0,0.0
26.0,23.0,0.0,1.0,3.0,0.6866629438316431,0.0,11.0,1021.0,87.0,5.0,75.0,0.0,0.0
26.0,23.0,0.0,2.0,3.0,0.9999992857147958,0.0,11.0,1021.0,87.0,5.0,75.0,0.0,0.0
26.0,23.0,0.0,3.0,1.0,0.9305532514068341,0.0,11.0,1021.0,87.0,5.0,75.0,0.0,0.0
26.0,23.0,0.0,4.0,2.0,0.8644051549019512,0.0,11.0,1021.0,87.0,5.0,75.0,0.0,0.0
27.0,0.0,0.0,1.0,3.0,0.9999928571938772,0.0,11.0,1021.0,87.0,4.0,90.0,0.0,0.0
27.0,0.0,0.0,2.0,3.0,0.943533088945512,0.0,11.0,1021.0,87.0,4.0,90.0,0.0,0.0
27.0,0.0,0.0,3.0,1.0,0.9999973684279776,0.0,11.0,1021.0,87.0,4.0,90.0,0.0,0.0
27.0,0.0,0.0,4.0,2.0,0.9999978723449524,0.0,11.0,1021.0,87.0,4.0,90.0,0.0,0.0
27.0,1.0,0.0,1.0,3.0,0.9999928571938772,0.0,10.0,1021.0,93.0,1.0,90.0,0.0,0.0
27.0,1.0,0.0,2.0,3.0,0.999999342105696,0.0,10.0,1021.0,93.0,1.0,90.0,0.0,0.0
27.0,1.0,0.0,3.0,1.0,0.9999973684279776,0.0,10.0,1021.0,93.0,1.0,90.0,0.0,0.0
27.0,1.0,0.0,4.0,2.0,0.9999978723449524,0.0,10.0,1021.0,93.0,1.0,90.0,0.0,0.0
27.0,2.0,0.0,1.0,3.0,0.9999928571938772,0.0,10.0,1020.0,93.0,0.0,75.0,0.0,0.0
27.0,2.0,0.0,2.0,3.0,0.999999342105696,0.0,10.0,1020.0,93.0,0.0,75.0,0.0,0.0
27.0,2.0,0.0,3.0,1.0,0.9999973684279776,0.0,10.0,1020.0,93.0,0.0,75.0,0.0,0.0
