"Day of year","Hour","week_or_not","road_num","functional_road_class_desc","time_rate","rain","temperature","atmospheric_pressure","humidity","wind_speed","clouds","current_luminosity","atmosphere"
16,17,1,2,3,0.583170819207568,1,11,1018,93,1,75,1,"0"
16,17,1,3,1,0.5762920428106652,1,11,1018,93,1,75,1,"0"
16,17,1,4,2,0.4961532122778297,1,11,1018,93,1,75,1,"0"
16,18,1,1,3,0.925919723733961,1,11,1018,100,1,75,0,"0"
16,18,1,2,3,0.5525407233933245,1,11,1018,100,1,75,0,"0"
16,18,1,3,1,0.6227074572637501,1,11,1018,100,1,75,0,"0"
16,18,1,4,2,0.38356531062093435,1,11,1018,100,1,75,0,"0"
16,19,1,1,3,0.9999950549719234,0,10,1019,100,2,75,0,"0"
16,19,1,2,3,0.7733707069444977,0,10,1019,100,2,75,0,"0"
16,19,1,3,1,0.5660331301703907,0,10,1019,100,2,75,0,"0"
16,19,1,4,2,0.7335746940756126,0,10,1019,100,2,75,0,"0"
16,20,1,1,3,0.9999961538609465,0,10,1019,100,2,75,0,"3"
16,20,1,2,3,0.8088575239363296,0,10,1019,100,2,75,0,"3"
16,20,1,3,1,0.8571234698432835,0,10,1019,100,2,75,0,"3"
16,20,1,4,2,0.9277759241566195,0,10,1019,100,2,75,0,"3"
16,21,1,1,3,0.9999961538609465,0,9,1019,100,0,40,0,"3"
16,21,1,2,3,0.9073030580940069,0,9,1019,100,0,40,0,"3"
16,21,1,3,1,0.9333113338566541,0,9,1019,100,0,40,0,"3"
16,21,1,4,2,0.9999978723449523,0,9,1019,100,0,40,0,"3"
16,22,1,1,3,0.9999961538609465,0,7,1020,100,0,40,0,"3"
16,22,1,2,3,0.9999996323530764,0,7,1020,100,0,40,0,"3"
16,22,1,3,1,0.7254676285781994,0,7,1020,100,0,40,0,"3"
16,22,1,4,2,0.9999978723449523,0,7,1020,100,0,40,0,"3"
16,23,1,1,3,0.9999961538609465,0,8,1020,100,1,40,0,"3"
16,23,1,2,3,0.9405837607679102,0,8,1020,100,1,40,0,"3"
16,23,1,3,1,0.9999666677777406,0,8,1020,100,1,40,0,"3"
16,23,1,4,2,0.9999978723449523,0,8,1020,100,1,40,0,"3"
17,0,1,1,3,0.9999961538609465,0,7,1020,100,1,75,0,"3"
17,0,1,2,3,0.9999996323530764,0,7,1020,100,1,75,0,"3"
17,0,1,3,1,0.9999666677777406,0,7,1020,100,1,75,0,"3"
17,0,1,4,2,0.9999978723449523,0,7,1020,100,1,75,0,"3"
17,1,1,1,3,0.9999961538609465,0,6,1020,100,1,75,0,"3"
17,1,1,2,3,0.9999996323530764,0,6,1020,100,1,75,0,"3"
17,1,1,3,1,0.9999666677777406,0,6,1020,100,1,75,0,"3"
17,1,1,4,2,0.9999978723449523,0,6,1020,100,1,75,0,"3"
17,2,1,1,3,0.9999961538609465,0,7,1020,100,1,40,0,"3"
17,2,1,2,3,0.9999996323530764,0,7,1020,100,1,40,0,"3"
17,2,1,3,1,0.9999666677777406,0,7,1020,100,1,40,0,"3"
17,2,1,4,2,0.9999978723449523,0,7,1020,100,1,40,0,"3"
17,3,1,1,3,0.9999961538609465,0,7,1020,100,1,75,0,"3"
17,3,1,2,3,0.9999996323530764,0,7,1020,100,1,75,0,"3"
17,3,1,3,1,0.9999666677777406,0,7,1020,100,1,75,0,"3"
17,3,1,4,2,0.9999978723449523,0,7,1020,100,1,75,0,"3"
17,4,1,1,3,0.9999961538609465,0,6,1020,100,1,40,0,"3"
17,4,1,2,3,0.9999996323530764,0,6,1020,100,1,40,0,"3"
17,4,1,3,1,0.9999666677777406,0,6,1020,100,1,40,0,"3"
17,4,1,4,2,0.9999978723449523,0,6,1020,100,1,40,0,"3"
17,5,1,1,3,0.9999961538609465,0,7,1020,100,0,40,0,"3"
17,5,1,2,3,0.9999996323530764,0,7,1020,100,0,40,0,"3"
17,5,1,3,1,0.9999666677777406,0,7,1020,100,0,40,0,"3"
17,5,1,4,2,0.9999978723449523,0,7,1020,100,0,40,0,"3"
17,6,1,1,3,0.9999961538609465,0,4,1020,100,1,20,0,"3"
17,6,1,2,3,0.9999996323530764,0,4,1020,100,1,20,0,"3"
17,6,1,3,1,0.9999666677777406,0,4,1020,100,1,20,0,"3"
17,6,1,4,2,0.9999978723449523,0,4,1020,100,1,20,0,"3"
17,7,1,1,3,0.9999961538609465,0,4,1021,100,2,20,0,"3"
17,7,1,2,3,0.9999996323530764,0,4,1021,100,2,20,0,"3"
17,7,1,3,1,0.9999666677777406,0,4,1021,100,2,20,0,"3"
17,7,1,4,2,0.9999978723449523,0,4,1021,100,2,20,0,"3"
17,8,1,1,3,0.9074041745922827,0,5,1021,100,2,0,1,"0"
17,8,1,2,3,0.8624907061746687,0,5,1021,100,2,0,1,"0"
17,8,1,3,1,0.9999666677777406,0,5,1021,100,2,0,1,"0"
17,8,1,4,2,0.7458947729759248,0,5,1021,100,2,0,1,"0"
17,9,1,1,3,0.897432741628736,0,6,1021,100,2,0,2,"0"
17,9,1,2,3,0.6660546691031256,0,6,1021,100,2,0,2,"0"
17,9,1,3,1,0.6237993862259997,0,6,1021,100,2,0,2,"0"
17,9,1,4,2,0.7343241423043432,0,6,1021,100,2,0,2,"0"
17,10,1,1,3,0.7164384891844127,0,8,1022,87,3,0,2,"0"
17,10,1,2,3,0.610179771375098,0,8,1022,87,3,0,2,"0"
17,10,1,3,1,0.9999750006249843,0,8,1022,87,3,0,2,"0"
17,10,1,4,2,0.7922955589828664,0,8,1022,87,3,0,2,"0"
17,11,1,1,3,0.9292895693654791,0,9,1023,81,3,0,2,"0"
17,11,1,2,3,0.8327814437385772,0,9,1023,81,3,0,2,"0"
17,11,1,3,1,0.9999750006249843,0,9,1023,81,3,0,2,"0"
17,11,1,4,2,0.7317693522997921,0,9,1023,81,3,0,2,"0"
17,12,1,1,3,0.8242396211318879,0,11,1022,71,3,0,2,"0"
17,12,1,2,3,0.9073030437886848,0,11,1022,71,3,0,2,"0"
17,12,1,3,1,0.9999750006249843,0,11,1022,71,3,0,2,"0"
17,12,1,4,2,0.6199683912450695,0,11,1022,71,3,0,2,"0"
17,13,1,1,3,0.9999962963100135,0,12,1022,62,4,20,2,"0"
17,13,1,2,3,0.888600719370223,0,12,1022,62,4,20,2,"0"
17,13,1,3,1,0.9999750006249843,0,12,1022,62,4,20,2,"0"
17,13,1,4,2,0.6379873055187897,0,12,1022,62,4,20,2,"0"
17,14,1,1,3,0.9999962013439689,0,12,1021,58,6,20,2,"0"
17,14,1,2,3,0.9213479836637017,0,12,1021,58,6,20,2,"0"
17,14,1,3,1,0.9333113338566541,0,12,1021,58,6,20,2,"0"
17,14,1,4,2,0.4957647669027507,0,12,1021,58,6,20,2,"0"
17,15,1,1,3,0.9292895693654791,0,13,1021,54,5,20,2,"0"
17,15,1,2,3,0.7956285348369575,0,13,1021,54,5,20,2,"0"
17,15,1,3,1,0.9333113338566541,0,13,1021,54,5,20,2,"0"
17,15,1,4,2,0.5724927977156338,0,13,1021,54,5,20,2,"0"
17,16,1,1,3,0.843134473436721,0,13,1021,54,4,20,2,"0"
17,16,1,2,3,0.6616612226971794,0,13,1021,54,4,20,2,"0"
17,16,1,3,1,0.9333113338566541,0,13,1021,54,4,20,2,"0"
17,16,1,4,2,0.6732481734588048,0,13,1021,54,4,20,2,"0"
17,17,1,1,3,0.7320240745728521,0,12,1021,58,4,20,1,"0"
17,17,1,2,3,0.6662227454412026,0,12,1021,58,4,20,1,"0"
17,17,1,3,1,0.5228679483512102,0,12,1021,58,4,20,1,"0"
17,17,1,4,2,0.3934934288163372,0,12,1021,58,4,20,1,"0"
17,18,1,1,3,0.6776644075873981,0,11,1021,71,4,20,0,"0"
17,18,1,2,3,0.34428845425345933,0,11,1021,71,4,20,0,"0"
17,18,1,3,1,0.393241996625996,0,11,1021,71,4,20,0,"0"
17,18,1,4,2,0.2849804459294941,0,11,1021,71,4,20,0,"0"
17,19,1,1,3,0.8073391163347613,0,8,1022,87,2,0,0,"0"
17,19,1,2,3,0.4184149199878949,0,8,1022,87,2,0,0,"0"
17,19,1,3,1,0.833314583776031,0,8,1022,87,2,0,0,"0"
17,19,1,4,2,0.47391320254943786,0,8,1022,87,2,0,0,"0"
17,20,1,1,3,0.9999961538609465,0,8,1022,81,2,0,0,"0"
17,20,1,2,3,0.8140791193201155,0,8,1022,81,2,0,0,"0"
17,20,1,3,1,0.9999750006249843,0,8,1022,81,2,0,0,"0"
17,20,1,4,2,0.7177407229181443,0,8,1022,81,2,0,0,"0"
17,21,1,1,3,0.9999961538609465,0,7,1022,81,3,0,0,"0"
17,21,1,2,3,0.9213479908163626,0,7,1022,81,3,0,0,"0"
17,21,1,3,1,0.9999750006249843,0,7,1022,81,3,0,0,"0"
17,21,1,4,2,0.9999979166710068,0,7,1022,81,3,0,0,"0"
17,22,1,1,3,0.9999961538609465,0,6,1022,87,2,0,0,"0"
17,22,1,2,3,0.940583746462588,0,6,1022,87,2,0,0,"0"
17,22,1,3,1,0.9999750006249843,0,6,1022,87,2,0,0,"0"
17,22,1,4,2,0.9999979166710068,0,6,1022,87,2,0,0,"0"
17,23,1,1,3,0.9999961538609465,0,6,1023,87,2,0,0,"0"
17,23,1,2,3,0.9999996323530764,0,6,1023,87,2,0,0,"0"
17,23,1,3,1,0.9999750006249843,0,6,1023,87,2,0,0,"0"
17,23,1,4,2,0.9999979166710068,0,6,1023,87,2,0,0,"0"
18,0,1,1,3,0.9999961538609465,0,4,1023,93,1,0,0,"0"
18,0,1,2,3,0.9999996323530764,0,4,1023,93,1,0,0,"0"
18,0,1,3,1,0.9999750006249843,0,4,1023,93,1,0,0,"0"
18,0,1,4,2,0.9999979166710068,0,4,1023,93,1,0,0,"0"
18,1,1,1,3,0.9999961538609465,0,4,1023,93,0,0,0,"0"
18,1,1,2,3,0.9999996323530764,0,4,1023,93,0,0,0,"0"
18,1,1,3,1,0.9999750006249843,0,4,1023,93,0,0,0,"0"
18,1,1,4,2,0.9999979166710068,0,4,1023,93,0,0,0,"0"
18,2,1,1,3,0.9999961538609465,0,4,1022,93,1,0,0,"0"
18,2,1,2,3,0.9999996323530764,0,4,1022,93,1,0,0,"0"
18,2,1,3,1,0.9999750006249843,0,4,1022,93,1,0,0,"0"
18,2,1,4,2,0.9999979166710068,0,4,1022,93,1,0,0,"0"
18,3,1,1,3,0.9999961538609465,0,3,1022,100,1,0,0,"0"
18,3,1,2,3,0.9999996323530764,0,3,1022,100,1,0,0,"0"
18,3,1,3,1,0.9999750006249843,0,3,1022,100,1,0,0,"0"
18,3,1,4,2,0.9999979166710068,0,3,1022,100,1,0,0,"0"
18,4,1,1,3,0.9999961538609465,0,4,1022,93,0,0,0,"0"
18,4,1,2,3,0.9999996323530764,0,4,1022,93,0,0,0,"0"
18,4,1,3,1,0.9999750006249843,0,4,1022,93,0,0,0,"0"
18,4,1,4,2,0.9999979166710068,0,4,1022,93,0,0,0,"0"
18,5,1,1,3,0.9999961538609465,0,4,1021,93,1,0,0,"0"
