"Day of year","Hour","length_in_meters","AvenidaCentral","AvenidaLiberdade","RuaDeCaires","Bosch","week_or_not"
15,19,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
15,20,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
15,21,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
15,22,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
15,23,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,0,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,1,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,2,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,3,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,4,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,5,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,6,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,7,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,8,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,9,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,10,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,11,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,12,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,13,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,14,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,15,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,16,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,17,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,18,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,19,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,20,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,21,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,22,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
16,23,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,0,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,1,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,2,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,3,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,4,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,5,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,6,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,7,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,8,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,9,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,10,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,11,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,12,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,13,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,14,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,15,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,16,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,17,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,18,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,19,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,20,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,21,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,22,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
17,23,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
18,0,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
18,1,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
18,2,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
18,3,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
18,4,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
18,5,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
18,6,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
18,7,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
18,8,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
18,9,88,1582.4349526715941,1206.4269697576465,2467.183986884477,2947.2171539792175,1
